method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,scenario_mode,load_level,rb_budget_ratio,kmax,seed
Resource-cost k-means,0.5930625925441503,3514.5833333333335,56.934678130511465,46.86111111111111,1.0,0.0,2.9166666666666665,0.8300000000000001,0.21750000000000003,0.9503371817066286,1.35,ambiguous,heavy,0.1,3,17
Multi-feature k-means,0.597379598605565,3536.25,55.98251763668431,47.15,1.0,0.0,2.9312500000000004,0.8450000000000001,0.21375000000000002,0.9280690218145443,1.35,ambiguous,heavy,0.1,3,17
Offline teacher,0.6201212330897741,3765.7291666666665,58.68961640211639,50.209722222222226,0.9979166666666668,0.0020833333333333316,3.0395833333333333,0.8699999999999999,0.19749999999999998,0.8985233594141839,1.3,ambiguous,heavy,0.1,3,17
LE-GRA MVP,0.6092881835438465,3584.0625,57.68375220458554,47.7875,1.0,0.0,2.964583333333333,0.845,0.20791666666666667,0.9199921624043697,1.3,ambiguous,heavy,0.1,3,17
No grouping,0.5831482701994799,3745.0,59.836772486772475,49.93333333333334,1.0,0.0,3.0,0.775,0.23291666666666666,1.0,1.0,ambiguous,heavy,0.1,3,23
CQI k-means,0.6419733505742221,4013.2291666666665,62.75628306878308,53.50972222222223,1.0,0.0,3.1791666666666667,0.85,0.19458333333333336,0.9055146979686558,1.35,ambiguous,heavy,0.1,3,23
Resource-cost k-means,0.6388187726780028,3881.979166666667,61.006977513227525,51.759722222222216,1.0,0.0,3.1520833333333336,0.8450000000000001,0.20583333333333337,0.9637055555050242,1.35,ambiguous,heavy,0.1,3,23
Multi-feature k-means,0.6374409099250029,3915.7291666666665,61.82595899470899,52.20972222222222,1.0,0.0,3.1499999999999995,0.8299999999999998,0.20125,0.9488346695665044,1.35,ambiguous,heavy,0.1,3,23
Offline teacher,0.6569707637819431,4000.520833333333,62.28838183421517,53.34027777777777,1.0,0.0,3.2229166666666673,0.8600000000000001,0.19583333333333336,0.9586607763126833,1.35,ambiguous,heavy,0.1,3,23
LE-GRA MVP,0.6423207335507213,3970.8333333333335,61.95103615520283,52.94444444444444,1.0,0.0,3.177083333333333,0.85,0.2,0.9428414416129611,1.4,ambiguous,heavy,0.1,3,23
