scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,split,seed,accepted,acceptance_score,selected
49,history_cost_quality,12,72,0.4166666666666667,6,13,7,0.0202537110314918,0.0050450219253943,2,1,1,1,0.009988269012750961,0.009988269012750961,0.0,0.0,0.009988269012750961,0.009988269012750961,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8516549356794177,0.8416666666666668,0.8416666666666668,0.8416666666666668,0.8416666666666668,train,13,0,0.16423936295257768,0
50,history_cost_quality,12,72,0.4166666666666667,7,15,8,0.019780608418893036,0.0025880416406247556,2,2,3,2,0.01696223179599321,0.014243490695810435,-0.00018498596733840245,0.014243490695810435,0.014428476663148837,0.0,0.8333333333333334,0.9090909090909091,1.0,0.8836288984626598,0.8693854077668494,0.869200421799511,0.8836288984626598,0.8666666666666666,train,13,0,0.20557189469152276,0
51,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.019501160426080417,0.009259259259259252,2,1,1,1,0.024231759708561507,0.024231759708561507,0.0,0.0,0.024231759708561507,0.024231759708561507,0.696969696969697,0.696969696969697,0.696969696969697,0.8575650930418949,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,train,13,1,0.17776220008500412,1
52,history_cost_quality,12,72,0.4166666666666667,8,12,4,0.015571324128557537,0.006814630298092476,2,1,1,1,0.005141917071038726,0.005141917071038726,0.0,0.0,0.005141917071038726,0.005141917071038726,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.8718085837377054,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,train,13,0,0.0939544340141695,0
53,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.01953833366818522,0.005456070842488791,2,1,1,1,0.016962231795992988,0.016962231795992988,0.0,0.0,0.016962231795992988,0.016962231795992988,0.4696969696969697,0.4696969696969697,0.4696969696969697,0.8836288984626597,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,train,13,1,0.1600746463358553,1
54,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.012799981733162883,0.0046296296296296224,2,2,1,2,0.006973962783242027,0.0,-0.006973962783242027,-0.002423175970856062,0.006973962783242027,0.002423175970856062,1.0,0.5151515151515151,0.8333333333333334,0.8443854077668492,0.8443854077668492,0.8374114449836072,0.8419622317959932,0.8374114449836072,train,13,0,0.10475865362282928,0
55,history_cost_quality,12,72,0.4166666666666667,7,14,7,0.015144896933943304,0.0,2,2,2,2,0.007269527912568408,0.002423175970856284,0.0,0.0,0.002423175970856284,0.002423175970856284,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9322695279125686,0.9298463519417123,0.9298463519417123,0.9298463519417123,0.9250000000000002,train,13,0,0.14763300430819712,0
56,history_cost_quality,12,72,0.4166666666666667,9,13,4,0.009105265216979902,0.0018900383817771437,2,2,2,2,0.019385407766849272,0.007269527912568408,-0.004846351941712568,0.002423175970856062,0.012115879854280975,0.004846351941712346,0.5909090909090909,0.4696969696969697,0.696969696969697,0.911052074433516,0.9037825465209476,0.898936194579235,0.9062057224918036,0.8916666666666667,train,13,0,0.10440863794801217,0
57,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.012683164489411857,0.003912751179298689,2,2,2,2,0.0072695279125682966,0.0021276108415295703,0.0021276108415295703,-0.002423175970856062,0.0,0.004550786812385632,0.45454545454545453,1.0,0.4696969696969697,0.898936194579235,0.8968085837377054,0.898936194579235,0.8943854077668494,0.8916666666666667,train,13,0,0.11038529974554012,0
58,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.01704531021170874,0.004756492286241497,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8457447783169406,0.8457447783169405,0.8457447783169405,0.8457447783169405,0.8457447783169405,train,13,0,0.12166477230018477,0
