mode,dispersion,seed,scenario_index,method,utility
aligned,mid_v2,5,12,Multi-feature k-means,0.7568765935312933
aligned,mid_v2,5,12,CQI+cost hybrid (2-way),0.7150860347391619
aligned,mid_v2,5,12,CQI+cost+RBprofile hybrid (3-way),0.7270252559346703
aligned,mid_v2,5,13,CQI k-means,0.7179205319360775
aligned,mid_v2,5,13,Multi-feature k-means,0.7502594809990856
aligned,mid_v2,5,13,CQI+cost hybrid (2-way),0.7179205319360775
aligned,mid_v2,5,13,CQI+cost+RBprofile hybrid (3-way),0.7204081434024628
aligned,mid_v2,5,14,CQI k-means,0.7014824746041513
aligned,mid_v2,5,14,Multi-feature k-means,0.708945309003307
aligned,mid_v2,5,14,CQI+cost hybrid (2-way),0.7910364873940199
aligned,mid_v2,5,14,CQI+cost+RBprofile hybrid (3-way),0.7910364873940199
aligned,mid_v2,5,15,CQI k-means,0.7069453090033071
aligned,mid_v2,5,15,Multi-feature k-means,0.7343090351335446
aligned,mid_v2,5,15,CQI+cost hybrid (2-way),0.7210855686751096
