dispersion,seed,scenario_index,fast_utility,multikey_utility,winning_key,No grouping,CQI k-means,Resource-cost k-means,Multi-feature k-means,LE-GRA MVP
high,22,17,0.4795084748773083,0.4795084748773083,cost,0.10177973312085849,0.4523253481474321,0.4323998022843592,0.4069307342771452,0.4194232217798182
high,22,18,0.44963378859748454,0.4530646744850387,cqi,0.11777973312085849,0.3450797511528162,0.40651243516099844,0.3613292789965175,0.40651243516099844
high,22,19,0.4170670739639202,0.4170670739639202,cost,0.12844639978752515,0.40012339040223976,0.1702179002975739,0.3064982283114764,0.31768254111449773
high,23,0,0.4462274093947901,0.44816906130406675,cqi,0.11577973312085846,0.40404225101251035,0.1836532356883563,0.3689416652223589,0.33428209903742445
high,23,1,0.42847955918648667,0.4321858017977698,cqi,0.12311306645419182,0.32295259616757255,0.12311306645419182,0.2672775278547824,0.42847955918648667
high,23,2,0.4278064297361317,0.4278064297361317,cost,0.12444639978752514,0.34509697284779645,0.3336076044639429,0.3643105068504109,0.4094936630148919
high,23,3,0.41906707396392023,0.4208316646659264,cqi_then_cost,0.1291130664541918,0.3181461228320366,0.29886171679602463,0.32944191187315675,0.33988594497734903
high,23,4,0.45739934473084265,0.45739934473084265,cost,0.11111306645419182,0.408551978238274,0.4084748908687853,0.3971791018276651,0.4084748908687853
high,23,5,0.4062617126992609,0.4163420592065303,cqi,0.12444639978752514,0.37045065821296735,0.3060062855800314,0.3503480511426241,0.3842354182659848
high,23,6,0.4671127448657472,0.4671127448657472,cost,0.11377973312085847,0.3857872847248091,0.4277706799099055,0.4334185744304657,0.4560101525127062
high,23,7,0.4224290478221629,0.4249564682651907,cqi,0.12177973312085845,0.34984686748387406,0.387920857078758,0.3427377009142771,0.3935687515993182
high,23,8,0.4043192384729193,0.4043192384729193,cost,0.13044639978752515,0.36990068772774704,0.33205587301773765,0.33002339673500075,0.2948860836171423
high,23,9,0.4236311147725436,0.4236311147725436,cost,0.11777973312085849,0.39778728472480895,0.3739584013709711,0.35701471780929067,0.3739584013709711
high,23,10,0.403023449431799,0.403023449431799,cost,0.13911306645419177,0.3917276603906787,0.29270341301755837,0.3174794561653699,0.2992381890965822
high,23,11,0.4991436351670833,0.4991436351670833,cost,0.10977973312085847,0.41189603436881644,0.36640866482162215,0.44369559132547937,0.46146888421538934
high,23,12,0.40608639773567284,0.4086138181787007,cqi,0.12844639978752515,0.29622121141646274,0.3414043675809437,0.32446068401926337,0.3301085785398235
high,23,13,0.43891283349026083,0.44067742419226713,cqi,0.1337797331208585,0.34571892876817056,0.2934492315734581,0.3772857908611127,0.35020848600526205
