dispersion,seed,scenario_index,method,objective,adr_kbps,log_utility
low,2,17,CQI k-means,log-utility,7012.666666666667,0.9356690586730787
low,2,17,Resource-cost k-means,log-utility,7500.0,0.9273333333333335
low,2,17,Multi-feature k-means,log-utility,6899.333333333333,0.9376075994497636
low,2,17,No grouping,ADR,7500.0,0.9273333333333335
low,2,17,CQI k-means,ADR,7500.0,0.9273333333333335
low,2,17,Resource-cost k-means,ADR,7500.0,0.9273333333333335
low,2,17,Multi-feature k-means,ADR,7500.0,0.9273333333333335
low,2,18,No grouping,log-utility,7500.0,0.9340000000000002
low,2,18,CQI k-means,log-utility,7069.333333333333,0.9413664549514029
low,2,18,Resource-cost k-means,log-utility,7500.0,0.9340000000000002
low,2,18,Multi-feature k-means,log-utility,6978.666666666667,0.9429172875727507
low,2,18,No grouping,ADR,7500.0,0.9340000000000002
low,2,18,CQI k-means,ADR,7500.0,0.9340000000000002
low,2,18,Resource-cost k-means,ADR,7500.0,0.9340000000000002
low,2,18,Multi-feature k-means,ADR,7500.0,0.9340000000000002
low,2,19,No grouping,log-utility,7500.0,0.9293333333333336
low,2,19,CQI k-means,log-utility,7092.0,0.9363120801293993
low,2,19,Resource-cost k-means,log-utility,7500.0,0.9293333333333336
low,2,19,Multi-feature k-means,log-utility,6888.0,0.9398014535274322
low,2,19,No grouping,ADR,7500.0,0.9293333333333336
low,2,19,CQI k-means,ADR,7500.0,0.9293333333333336
low,2,19,Resource-cost k-means,ADR,7500.0,0.9293333333333336
low,2,19,Multi-feature k-means,ADR,7500.0,0.9293333333333336
low,3,0,No grouping,log-utility,7500.0,0.9333333333333336
low,3,0,CQI k-means,log-utility,7035.333333333333,0.9412813505177416
low,3,0,Resource-cost k-means,log-utility,7443.333333333333,0.9343026037216757
low,3,0,Multi-feature k-means,log-utility,6933.333333333333,0.943026037216758
low,3,0,No grouping,ADR,7500.0,0.9333333333333336
low,3,0,CQI k-means,ADR,7500.0,0.9333333333333336
low,3,0,Resource-cost k-means,ADR,7500.0,0.9333333333333336
low,3,0,Multi-feature k-means,ADR,7500.0,0.9333333333333336
low,3,1,No grouping,log-utility,7500.0,0.9306666666666669
low,3,1,CQI k-means,log-utility,7024.0,0.9388085379287436
low,3,1,Resource-cost k-means,log-utility,7500.0,0.9306666666666669
low,3,1,Multi-feature k-means,log-utility,6684.0,0.9446241602587983
low,3,1,No grouping,ADR,7500.0,0.9306666666666669
low,3,1,CQI k-means,ADR,7500.0,0.9306666666666669
low,3,1,Resource-cost k-means,ADR,7500.0,0.9306666666666669
low,3,1,Multi-feature k-means,ADR,7500.0,0.9306666666666669
low,3,2,No grouping,log-utility,7500.0,0.9420000000000001
low,3,2,CQI k-means,log-utility,6514.0,0.9588653047571586
low,3,2,Resource-cost k-means,log-utility,7454.666666666667,0.942775416310674
low,3,2,Multi-feature k-means,log-utility,6944.666666666667,0.9514988498057562
low,3,2,No grouping,ADR,7500.0,0.9420000000000001
low,3,2,CQI k-means,ADR,7500.0,0.9420000000000001
low,3,2,Resource-cost k-means,ADR,7500.0,0.9420000000000001
low,3,2,Multi-feature k-means,ADR,7500.0,0.9420000000000001
low,3,3,No grouping,log-utility,7500.0,0.9273333333333335
low,3,3,CQI k-means,log-utility,6944.666666666667,0.9368321831390897
low,3,3,Resource-cost k-means,log-utility,7341.333333333333,0.9300472904206922
low,3,3,Multi-feature k-means,log-utility,7080.666666666667,0.9345059342070677
low,3,3,No grouping,ADR,7500.0,0.9273333333333335
low,3,3,CQI k-means,ADR,7500.0,0.9273333333333335
low,3,3,Resource-cost k-means,ADR,7500.0,0.9273333333333335
low,3,3,Multi-feature k-means,ADR,7500.0,0.9273333333333335
low,3,4,No grouping,log-utility,7500.0,0.9280000000000003
low,3,4,CQI k-means,log-utility,6899.333333333333,0.9382742661164302
low,3,4,Resource-cost k-means,log-utility,7318.666666666667,0.9311016652426959
low,3,4,Multi-feature k-means,log-utility,6729.333333333333,0.9411820772814574
low,3,4,No grouping,ADR,7500.0,0.9280000000000003
low,3,4,CQI k-means,ADR,7500.0,0.9280000000000003
low,3,4,Resource-cost k-means,ADR,7500.0,0.9280000000000003
low,3,4,Multi-feature k-means,ADR,7500.0,0.9280000000000003
low,3,5,No grouping,log-utility,7500.0,0.9346666666666668
low,3,5,CQI k-means,log-utility,6389.333333333333,0.9536643662781789
low,3,5,Resource-cost k-means,log-utility,7443.333333333333,0.9356359370550092
low,3,5,Multi-feature k-means,log-utility,6638.666666666667,0.9493995765694719
low,3,5,No grouping,ADR,7500.0,0.9346666666666668
low,3,5,CQI k-means,ADR,7500.0,0.9346666666666668
low,3,5,Resource-cost k-means,ADR,7500.0,0.9346666666666668
low,3,5,Multi-feature k-means,ADR,7500.0,0.9346666666666668
low,3,6,No grouping,log-utility,7500.0,0.9306666666666669
low,3,6,CQI k-means,log-utility,7035.333333333333,0.9386146838510752
low,3,6,Resource-cost k-means,log-utility,7432.0,0.9318297911326777
low,3,6,Multi-feature k-means,log-utility,6718.0,0.9440425980257927
low,3,6,No grouping,ADR,7500.0,0.9306666666666669
low,3,6,CQI k-means,ADR,7500.0,0.9306666666666669
low,3,6,Resource-cost k-means,ADR,7500.0,0.9306666666666669
low,3,6,Multi-feature k-means,ADR,7500.0,0.9306666666666669
low,3,7,No grouping,log-utility,7500.0,0.9333333333333336
low,3,7,CQI k-means,log-utility,7046.666666666667,0.9410874964400732
low,3,7,Resource-cost k-means,log-utility,7386.666666666667,0.9352718741100183
low,3,7,Multi-feature k-means,log-utility,6888.0,0.943801453527432
low,3,7,No grouping,ADR,7500.0,0.9333333333333336
low,3,7,CQI k-means,ADR,7500.0,0.9333333333333336
