dispersion,load,seed,method,mean_utility,n_scenarios
high,medium,seed_0009,Trend-slope k-means,0.1561373513599825,15
high,medium,seed_0009,Trend-volatility k-means,0.1492608887118265,15
high,medium,seed_0009,Trend-downside-deviation k-means,0.16120175980877266,15
high,medium,seed_0009,Trend-only union (CQI+slope+volatility+downside),0.18460647258268656,15
high,medium,seed_0009,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.19302006686382545,15
high,medium,seed_0009,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.19302006686382545,15
high,medium,seed_0009,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.1959162391463327,15
high,medium,seed_0009,CQI+cost+switching+regret-graph+trend union,0.1959162391463327,15
high,medium,seed_0010,CQI k-means,0.14910330460409568,15
high,medium,seed_0010,Trend-slope k-means,0.10892864679830146,15
high,medium,seed_0010,Trend-volatility k-means,0.10299001321116029,15
high,medium,seed_0010,Trend-downside-deviation k-means,0.11488000116997539,15
high,medium,seed_0010,Trend-only union (CQI+slope+volatility+downside),0.15215848669326235,15
high,medium,seed_0010,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.1726083867520174,15
high,medium,seed_0010,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.1726083867520174,15
high,medium,seed_0010,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.1726083867520174,15
high,medium,seed_0010,CQI+cost+switching+regret-graph+trend union,0.1726083867520174,15
low,heavy,seed_0001,CQI k-means,0.35593639169248775,15
low,heavy,seed_0001,Trend-slope k-means,0.35593639169248775,15
low,heavy,seed_0001,Trend-volatility k-means,0.35593639169248775,15
low,heavy,seed_0001,Trend-downside-deviation k-means,0.35593639169248775,15
low,heavy,seed_0001,Trend-only union (CQI+slope+volatility+downside),0.35593639169248775,15
low,heavy,seed_0001,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0001,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.35593639169248775,15
low,heavy,seed_0001,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0001,CQI+cost+switching+regret-graph+trend union,0.35593639169248775,15
low,heavy,seed_0002,CQI k-means,0.35593639169248775,15
low,heavy,seed_0002,Trend-slope k-means,0.35593639169248775,15
low,heavy,seed_0002,Trend-volatility k-means,0.35593639169248775,15
low,heavy,seed_0002,Trend-downside-deviation k-means,0.35593639169248775,15
low,heavy,seed_0002,Trend-only union (CQI+slope+volatility+downside),0.35593639169248775,15
low,heavy,seed_0002,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0002,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.35593639169248775,15
low,heavy,seed_0002,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0002,CQI+cost+switching+regret-graph+trend union,0.35593639169248775,15
low,heavy,seed_0003,CQI k-means,0.35593639169248775,15
low,heavy,seed_0003,Trend-slope k-means,0.35593639169248775,15
low,heavy,seed_0003,Trend-volatility k-means,0.35593639169248775,15
low,heavy,seed_0003,Trend-downside-deviation k-means,0.35593639169248775,15
low,heavy,seed_0003,Trend-only union (CQI+slope+volatility+downside),0.35593639169248775,15
low,heavy,seed_0003,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0003,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.35593639169248775,15
low,heavy,seed_0003,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0003,CQI+cost+switching+regret-graph+trend union,0.35593639169248775,15
low,heavy,seed_0004,CQI k-means,0.35593639169248775,15
low,heavy,seed_0004,Trend-slope k-means,0.35593639169248775,15
low,heavy,seed_0004,Trend-volatility k-means,0.35593639169248775,15
low,heavy,seed_0004,Trend-downside-deviation k-means,0.35593639169248775,15
low,heavy,seed_0004,Trend-only union (CQI+slope+volatility+downside),0.35593639169248775,15
low,heavy,seed_0004,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0004,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.35593639169248775,15
low,heavy,seed_0004,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0004,CQI+cost+switching+regret-graph+trend union,0.35593639169248775,15
low,heavy,seed_0005,CQI k-means,0.35593639169248775,15
low,heavy,seed_0005,Trend-slope k-means,0.35593639169248775,15
low,heavy,seed_0005,Trend-volatility k-means,0.35593639169248775,15
low,heavy,seed_0005,Trend-downside-deviation k-means,0.35593639169248775,15
low,heavy,seed_0005,Trend-only union (CQI+slope+volatility+downside),0.35593639169248775,15
low,heavy,seed_0005,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0005,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.35593639169248775,15
low,heavy,seed_0005,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0005,CQI+cost+switching+regret-graph+trend union,0.35593639169248775,15
low,heavy,seed_0006,CQI k-means,0.35593639169248775,15
low,heavy,seed_0006,Trend-slope k-means,0.35593639169248775,15
low,heavy,seed_0006,Trend-volatility k-means,0.35593639169248775,15
low,heavy,seed_0006,Trend-downside-deviation k-means,0.35593639169248775,15
low,heavy,seed_0006,Trend-only union (CQI+slope+volatility+downside),0.35593639169248775,15
low,heavy,seed_0006,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0006,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.35593639169248775,15
