scenario_id,timestamp_s,serving_gnb,user_count,rb_available,total_rbs,resource_pressure_ratio,cqi_min,cqi_median,cqi_max,cqi_unique_count,cqi_saturation_ratio,per_band_rate_min_kbps,per_band_rate_median_kbps,per_band_rate_max_kbps,mean_user_profile_range_kbps,mean_user_profile_std_kbps,pair_count,ambiguous_pair_count,ambiguous_pair_ratio
simu5g_00000138,8.2,gnb_2,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,608.000000,1128.000000,1160.000000,452.000000,107.034127,1,0,0.000000
simu5g_00000139,8.3,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,528.000000,1160.000000,1160.000000,404.000000,86.387375,1,0,0.000000
simu5g_00000140,8.3,gnb_2,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,608.000000,1128.000000,1160.000000,452.000000,107.034127,1,0,0.000000
simu5g_00000141,8.4,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,528.000000,1160.000000,1160.000000,404.000000,86.387375,1,0,0.000000
simu5g_00000142,8.4,gnb_2,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,608.000000,1128.000000,1160.000000,452.000000,107.034127,1,0,0.000000
simu5g_00000143,8.5,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,704.000000,1160.000000,1160.000000,316.000000,64.206556,1,0,0.000000
simu5g_00000144,8.5,gnb_2,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,608.000000,1128.000000,1160.000000,452.000000,107.034127,1,0,0.000000
simu5g_00000145,8.6,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,704.000000,1160.000000,1160.000000,316.000000,64.206556,1,0,0.000000
simu5g_00000146,8.6,gnb_2,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,608.000000,1128.000000,1160.000000,452.000000,107.034127,1,0,0.000000
simu5g_00000147,8.7,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,704.000000,1160.000000,1160.000000,316.000000,64.206556,1,0,0.000000
simu5g_00000148,8.7,gnb_2,2,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,608.000000,1128.000000,1160.000000,452.000000,107.471027,1,1,1.000000
