scenario_id,timestamp_s,ue_id_a,ue_id_b,cqi_a,cqi_b,cqi_gap,mean_profile_gap_kbps,max_profile_gap_kbps,ambiguous_pair
simu5g_00000254,14.0,2,3,12,9,3.000000,344.960000,680.000000,0
simu5g_00000255,14.1,15,31,14,13,1.000000,175.680000,456.000000,0
simu5g_00000256,14.1,0,1,12,15,3.000000,240.320000,792.000000,0
simu5g_00000256,14.1,0,2,12,12,0.000000,230.080000,600.000000,1
simu5g_00000256,14.1,0,3,12,9,3.000000,352.960000,824.000000,0
simu5g_00000256,14.1,1,2,15,12,3.000000,282.240000,728.000000,0
simu5g_00000256,14.1,1,3,15,9,6.000000,546.560000,856.000000,0
simu5g_00000256,14.1,2,3,12,9,3.000000,344.960000,680.000000,0
simu5g_00000257,14.2,15,31,14,13,1.000000,171.520000,456.000000,0
simu5g_00000258,14.2,0,1,12,15,3.000000,240.320000,792.000000,0
simu5g_00000258,14.2,0,2,12,12,0.000000,230.080000,600.000000,1
simu5g_00000258,14.2,0,3,12,9,3.000000,352.960000,824.000000,0
simu5g_00000258,14.2,1,2,15,12,3.000000,282.240000,728.000000,0
simu5g_00000258,14.2,1,3,15,9,6.000000,546.560000,856.000000,0
simu5g_00000258,14.2,2,3,12,9,3.000000,344.960000,680.000000,0
simu5g_00000259,14.3,15,31,14,13,1.000000,171.520000,456.000000,0
simu5g_00000260,14.3,0,1,12,15,3.000000,237.120000,792.000000,0
simu5g_00000260,14.3,0,2,12,12,0.000000,233.280000,600.000000,1
simu5g_00000260,14.3,0,3,12,9,3.000000,356.160000,824.000000,0
simu5g_00000260,14.3,1,2,15,12,3.000000,282.240000,728.000000,0
simu5g_00000260,14.3,1,3,15,9,6.000000,546.560000,856.000000,0
simu5g_00000260,14.3,2,3,12,9,3.000000,344.960000,680.000000,0
simu5g_00000261,14.4,15,31,13,13,0.000000,163.840000,552.000000,1
simu5g_00000262,14.4,0,1,12,15,3.000000,239.680000,792.000000,0
simu5g_00000262,14.4,0,2,12,12,0.000000,230.080000,600.000000,1
simu5g_00000262,14.4,0,3,12,9,3.000000,356.160000,824.000000,0
simu5g_00000262,14.4,1,2,15,12,3.000000,281.600000,728.000000,0
simu5g_00000262,14.4,1,3,15,9,6.000000,549.120000,856.000000,0
simu5g_00000262,14.4,2,3,12,9,3.000000,348.160000,680.000000,0
simu5g_00000263,14.5,15,31,13,13,0.000000,160.000000,552.000000,1
simu5g_00000264,14.5,0,1,13,15,2.000000,184.000000,792.000000,0
simu5g_00000264,14.5,0,2,13,12,1.000000,238.400000,520.000000,0
simu5g_00000264,14.5,0,3,13,9,4.000000,408.000000,856.000000,0
simu5g_00000264,14.5,1,2,15,12,3.000000,281.600000,728.000000,0
simu5g_00000264,14.5,1,3,15,9,6.000000,549.120000,856.000000,0
simu5g_00000264,14.5,2,3,12,9,3.000000,348.160000,680.000000,0
simu5g_00000265,14.6,15,31,13,13,0.000000,160.000000,552.000000,1
simu5g_00000266,14.6,0,1,13,15,2.000000,184.000000,792.000000,0
simu5g_00000266,14.6,0,2,13,11,2.000000,255.040000,600.000000,0
simu5g_00000266,14.6,0,3,13,9,4.000000,408.000000,856.000000,0
simu5g_00000266,14.6,1,2,15,11,4.000000,309.760000,792.000000,0
simu5g_00000266,14.6,1,3,15,9,6.000000,549.120000,856.000000,0
simu5g_00000266,14.6,2,3,11,9,2.000000,344.320000,680.000000,0
simu5g_00000267,14.7,15,31,13,13,0.000000,160.000000,552.000000,1
simu5g_00000268,14.7,0,1,13,15,2.000000,184.000000,792.000000,0
simu5g_00000268,14.7,0,2,13,11,2.000000,255.040000,600.000000,0
simu5g_00000268,14.7,0,3,13,9,4.000000,408.000000,856.000000,0
simu5g_00000268,14.7,1,2,15,11,4.000000,309.760000,792.000000,0
simu5g_00000268,14.7,1,3,15,9,6.000000,549.120000,856.000000,0
simu5g_00000268,14.7,2,3,11,9,2.000000,344.320000,680.000000,0
simu5g_00000269,14.8,15,31,13,14,1.000000,118.080000,456.000000,0
simu5g_00000270,14.8,0,1,13,15,2.000000,184.000000,792.000000,0
simu5g_00000270,14.8,0,2,13,11,2.000000,255.040000,600.000000,0
simu5g_00000270,14.8,0,3,13,9,4.000000,408.000000,856.000000,0
simu5g_00000270,14.8,1,2,15,11,4.000000,309.760000,792.000000,0
