dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
low,2,6,Offline teacher,0.9362174992880148,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,2,7,No grouping,0.9260000000000003,7500.0,1.0,5.0,250.0
low,2,7,CQI k-means,0.9339480171844083,7035.333333333333,1.0,4.726666666666667,234.51111111111112
low,2,7,Resource-cost k-means,0.9260000000000003,7500.0,1.0,5.0,250.0
low,2,7,Multi-feature k-means,0.9362742661164303,6899.333333333333,1.0,4.6466666666666665,229.9777777777778
low,2,7,Offline teacher,0.9281560400646997,7296.0,1.0,4.88,243.2
low,2,8,No grouping,0.932,7500.0,1.0,5.0,250.0
low,2,8,CQI k-means,0.9403357253397454,7012.666666666667,1.0,4.713333333333333,233.75555555555556
low,2,8,Resource-cost k-means,0.9335508326213483,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,2,8,Multi-feature k-means,0.9432435365047728,6842.666666666667,1.0,4.613333333333333,228.0888888888889
low,2,8,Offline teacher,0.9335508326213481,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,2,9,No grouping,0.9333333333333336,7500.0,1.0,5.0,250.0
low,2,9,CQI k-means,0.9401182260517307,7103.333333333333,1.0,4.766666666666667,236.77777777777777
low,2,9,Resource-cost k-means,0.9341087496440075,7454.666666666667,1.0,4.973333333333334,248.48888888888888
low,2,9,Multi-feature k-means,0.9416927038834247,6933.333333333333,1.0,4.666666666666667,231.11111111111111
low,2,9,Offline teacher,0.9346903118770128,7420.666666666667,1.0,4.953333333333333,247.35555555555555
low,2,10,No grouping,0.932,7500.0,1.0,5.0,250.0
low,2,10,CQI k-means,0.9399480171844083,7035.333333333333,1.0,4.726666666666667,234.51111111111112
low,2,10,Resource-cost k-means,0.932,7500.0,1.0,5.0,250.0
low,2,10,Multi-feature k-means,0.943437390582441,6831.333333333333,1.0,4.6066666666666665,227.7111111111111
low,2,10,Offline teacher,0.9341323948543535,7375.333333333333,1.0,4.926666666666667,245.84444444444443
low,2,11,No grouping,0.9220000000000003,7500.0,1.0,5.0,250.0
low,2,11,CQI k-means,0.9326619742717673,6876.666666666667,1.0,4.633333333333334,229.22222222222223
low,2,11,Resource-cost k-means,0.9241323948543535,7375.333333333333,1.0,4.926666666666667,245.84444444444443
low,2,11,Multi-feature k-means,0.9324681201940989,6888.0,1.0,4.64,229.6
low,2,11,Offline teacher,0.9245201030096905,7352.666666666667,1.0,4.913333333333333,245.0888888888889
low,2,12,No grouping,0.9386666666666668,7500.0,1.0,5.0,250.0
low,2,12,CQI k-means,0.9563073877344993,6468.666666666667,1.0,4.3933333333333335,215.62222222222223
low,2,12,Resource-cost k-means,0.9386666666666668,7500.0,1.0,5.0,250.0
low,2,12,Multi-feature k-means,0.9485532246277599,6922.0,1.0,4.66,230.73333333333332
low,2,12,Offline teacher,0.9394420829773407,7454.666666666667,1.0,4.973333333333334,248.48888888888888
low,2,13,No grouping,0.9233333333333336,7500.0,1.0,5.0,250.0
low,2,13,CQI k-means,0.9326383290614211,6956.0,1.0,4.68,231.86666666666667
low,2,13,Resource-cost k-means,0.9241087496440075,7454.666666666667,1.0,4.973333333333334,248.48888888888888
low,2,13,Multi-feature k-means,0.9369031187701279,6706.666666666667,1.0,4.533333333333333,223.55555555555554
low,2,13,Offline teacher,0.9250780200323501,7398.0,1.0,4.94,246.6
low,2,14,No grouping,0.9313333333333337,7500.0,1.0,5.0,250.0
low,2,14,CQI k-means,0.9404444749837529,6967.333333333333,1.0,4.6866666666666665,232.24444444444444
low,2,14,Resource-cost k-means,0.9323026037216757,7443.333333333333,1.0,4.966666666666667,248.11111111111111
low,2,14,Multi-feature k-means,0.9452908269254648,6684.0,1.0,4.52,222.8
low,2,14,Offline teacher,0.9336595822653555,7364.0,1.0,4.92,245.46666666666667
low,2,15,No grouping,0.9353333333333336,7500.0,1.0,5.0,250.0
low,2,15,CQI k-means,0.9430874964400732,7046.666666666667,1.0,4.733333333333333,234.88888888888889
