scenario_mode,load_level,seed,method,test_index,utility
aligned,light,17,Resource-cost k-means,15,0.7453531217242971
aligned,light,17,Resource-cost k-means,16,0.8957447783169407
aligned,light,17,Resource-cost k-means,17,0.7183216023460846
aligned,light,17,Resource-cost k-means,18,0.9387115879854279
aligned,light,17,Resource-cost k-means,19,0.9428782546520945
aligned,light,17,Resource-cost k-means,20,0.9375
aligned,light,17,Resource-cost k-means,21,0.9303782546520946
aligned,light,17,Resource-cost k-means,22,0.9375
aligned,light,17,Resource-cost k-means,23,0.6936814522878537
aligned,light,17,Resource-cost k-means,24,0.8957447783169407
aligned,light,17,Resource-cost k-means,25,0.9375
aligned,light,17,Resource-cost k-means,26,0.888327467839709
aligned,light,17,Resource-cost k-means,27,0.8832447783169407
aligned,light,17,Resource-cost k-means,28,0.8957447783169407
aligned,light,17,Resource-cost k-means,29,0.7207506041175935
aligned,light,17,Multi-feature k-means,0,0.7350835732022384
aligned,light,17,Multi-feature k-means,1,0.8957447783169407
aligned,light,17,Multi-feature k-means,2,0.8980201717231334
aligned,light,17,Multi-feature k-means,3,0.9549941345063756
aligned,light,17,Multi-feature k-means,4,0.7232926816608273
aligned,light,17,Multi-feature k-means,5,0.8957447783169407
aligned,light,17,Multi-feature k-means,6,0.6725161485192693
aligned,light,17,Multi-feature k-means,7,0.6109519076815015
aligned,light,17,Multi-feature k-means,8,0.9549941345063755
aligned,light,17,Multi-feature k-means,9,0.6038939824702748
aligned,light,17,Multi-feature k-means,10,0.5603441326020696
aligned,light,17,Multi-feature k-means,11,0.9490839771438982
aligned,light,17,Multi-feature k-means,12,0.8937057224918036
aligned,light,17,Multi-feature k-means,13,0.6941781647046289
aligned,light,17,Multi-feature k-means,14,0.879078111650274
aligned,light,17,Multi-feature k-means,15,0.7392251715682048
aligned,light,17,Multi-feature k-means,16,0.8992317597085616
aligned,light,17,Multi-feature k-means,17,0.7059497133618485
aligned,light,17,Multi-feature k-means,18,0.953250643810565
aligned,light,17,Multi-feature k-means,19,0.9586288984626599
aligned,light,17,Multi-feature k-means,20,0.9544622317959931
aligned,light,17,Multi-feature k-means,21,0.9437057224918036
aligned,light,17,Multi-feature k-means,22,0.9484042918688527
aligned,light,17,Multi-feature k-means,23,0.6926848445798583
